material_id,formula,common_name,space_group,a_ang,b_ang,c_ang,alpha_deg,beta_deg,gamma_deg,volume_ang3,density_g_cm3,cif_file_path,capacity_reversible_mAh_g,voltage_discharge_avg_V,capacity_retention_100cyc_percent
1,LiCoO2,LCO,R-3m,2.82,2.82,14.08,90,90,120,96.45,5.09,cif_files/LCO.cif,140,3.85,95
2,LiFePO4,LFP,Pnma,6.01,4.7,4.94,90,90,90,139.85,3.6,cif_files/LFP.cif,160,3.4,98
3,LiNi0.8Co0.1Mn0.1O2,NCM811,R-3m,2.87,2.87,14.24,90,90,120,102.12,4.8,cif_files/NCM811.cif,200,3.7,85
4,LiNi0.5Mn1.5O4,LNMO,Fd-3m,8.17,8.17,8.17,90,90,90,546.52,4.35,cif_files/LNMO.cif,148,4.7,90
5,Li2MnO3,LMO,C2/m,4.98,8.54,9.24,90,109.2,90,366.41,2.9,cif_files/LMO.cif,90,4,78
6,Li4Ti5O12,LLTO,Fd-3m,8.36,8.36,8.36,90,90,90,582.57,3.57,cif_files/LLTO.cif,175,1.55,99
7,LiMn2O4,Spinel MnO2,Fd-3m,8.25,8.25,8.25,90,90,90,561.38,4.28,cif_files/SpinelMnO2.cif,120,4,82
8,NMC_111,NCM111,R-3m,2.86,2.86,14.21,90,90,120,101.38,4.9,cif_files/NCM111.cif,170,3.75,88
9,NaFePO4,NFP,Pnma,5.98,4.75,4.98,90,90,90,140.98,3.58,cif_files/NFP.cif,120,2.8,92
10,KFeO2,KFO,P63mc,3.2,3.2,5.2,90,90,120,46.43,3.2,cif_files/KFO.cif,180,2.5,85
11,CaMnO3,CMO,Pnma,5.28,7.48,5.28,90,90,90,206.49,4,cif_files/CMO.cif,110,3,80
12,MgTi2O4,MTO,Fd-3m,8.3,8.3,8.3,90,90,90,569.83,3.6,cif_files/MTO.cif,100,1.8,94
13,ZnMn2O4,ZMO,Fd-3m,8.42,8.42,8.42,90,90,90,599.59,4.2,cif_files/ZMO.cif,95,2,88
14,Al2O3,AO,R-3c,4.76,4.76,12.99,90,90,120,255.04,3.97,cif_files/AO.cif,0,0,100
15,Fe2O3,IO,R-3c,5.04,5.04,13.72,90,90,120,289.13,5.28,cif_files/IO.cif,1000,1.2,70
16,TiO2,TO,P4_2/mnm,4.59,4.59,2.96,90,90,90,62.35,4.26,cif_files/TO.cif,330,1.7,96
17,VO2,VO,P4_2/mnm,4.55,4.55,2.86,90,90,90,59.1,4.4,cif_files/VO.cif,300,1.8,75
18,Cr2O3,CO,R-3c,4.96,4.96,13.6,90,90,120,283.04,5.22,cif_files/CO.cif,200,2,82
19,MnO2,MO,P4_2/mnm,4.4,4.4,2.86,90,90,90,55.38,4.4,cif_files/MO.cif,1200,1,65
20,Co3O4,COO,Fd-3m,8.08,8.08,8.08,90,90,90,527.05,6.11,cif_files/COO.cif,900,1.5,72
21,NiO,NO,Fm-3m,4.18,4.18,4.18,90,90,90,73.03,6.67,cif_files/NO.cif,200,2.1,86
22,CuO,CuO,C2/c,4.68,3.42,5.13,90,99.5,90,81.48,6.31,cif_files/CuO.cif,600,1.3,78
23,ZnO,ZnO,P6_3mc,3.25,3.25,5.21,90,90,120,47.61,5.61,cif_files/ZnO.cif,150,1.9,90
24,AlPO4,AP,Amm2,9.78,7.98,5.04,90,90,90,393.9,2.57,cif_files/AP.cif,80,2.2,89
25,Ga2O3,GO,C2/m,12.24,3.04,5.81,90,116.2,90,200.01,5.88,cif_files/GO.cif,70,2.3,91
26,In2O3,IOO,Ia-3,10.12,10.12,10.12,90,90,90,1036.43,7.18,cif_files/IOO.cif,60,2.4,93
27,SnO2,SO,P4_2/mnm,4.74,4.74,3.19,90,90,90,71.97,6.95,cif_files/SO.cif,50,2.5,95
28,PbO2,PO,P4_2/mnm,4.95,4.95,3.39,90,90,90,83.2,9.38,cif_files/PO.cif,40,2.6,97
29,Bi2O3,BO,I2/a,5.83,8.16,5.85,90,103.7,90,273.69,8.9,cif_files/BO.cif,30,2.7,99
30,Sb2O3,SOO,C2/c,11.49,3.79,8.89,90,101.4,90,376.13,5.68,cif_files/SOO.cif,20,2.8,98
31,La2O3,LO,I-3,3.94,3.94,5.86,90,90,120,79.43,6.51,cif_files/LO.cif,10,2.9,100
32,CeO2,COO,Fm-3m,5.41,5.41,5.41,90,90,90,158.34,7.32,cif_files/COO.cif,5,3,99.5
33,Pr6O11,POO,I4/mmm,3.84,3.84,25.28,90,90,90,371.58,6.86,cif_files/POO.cif,2,3.1,99.8
34,Nd2O3,NOO,Ia-3,10.99,10.99,10.99,90,90,90,1328.42,7.24,cif_files/NOO.cif,1,3.2,99.9
35,Sm2O3,SMO,Ia-3,10.84,10.84,10.84,90,90,90,1267.01,8.34,cif_files/SMO.cif,0.5,3.3,99.95
36,Eu2O3,EOO,Ia-3,10.89,10.89,10.89,90,90,90,1281.68,8.52,cif_files/EOO.cif,0.2,3.4,99.98
37,Gd2O3,GOO,Ia-3,10.81,10.81,10.81,90,90,90,1259.72,7.41,cif_files/GOO.cif,0.1,3.5,99.99
38,Tb4O7,TOO,I4_1/amd,3.42,3.42,22.35,90,90,90,262.54,7.37,cif_files/TOO.cif,0.05,3.6,100
39,Dy2O3,DOO,Ia-3,10.78,10.78,10.78,90,90,90,1248.58,7.82,cif_files/DOO.cif,0.02,3.7,100
40,Ho2O3,HOO,Ia-3,10.76,10.76,10.76,90,90,90,1242.95,8.43,cif_files/HOO.cif,0.01,3.8,100
